category,rank,title,author,publisher,price,summary,hook,selected
판단력·의사결정,1,판단력 수업 ★REF,이석연,한국표준협회미디어,18000,전 법제처장이 40가지 통찰로 정리한 판단력의 원리. 불확실한 상황에서 옳고 그름을 가려내는 기준과 사고 프레임워크를 제시한다.,당신의 판단은 논리인가 습관인가,
판단력·의사결정,2,생각에 관한 생각,대니얼 카너먼,김영사,22000,노벨 경제학상 수상자가 밝힌 인간 의사결정의 두 시스템(빠른 직관 vs 느린 분석). 왜 우리가 체계적으로 잘못된 판단을 내리는지 과학적으로 해부한다.,당신이 합리적이라 믿는 순간이 가장 위험하다,
판단력·의사결정,3,넛지,리처드 탈러 · 카스 선스타인,리더스북,17000,행동경제학의 핵심 — 선택 설계가 판단을 바꾼다. 작은 구조 변화가 의사결정의 방향을 결정하는 메커니즘을 다룬다. AI 초안의 선택지 설계를 이해하는 데 필수.,똑똑한 선택은 의지가 아니라 환경이 만든다,
판단력·의사결정,4,클루지,개리 마커스,갤리온,15000,인간 뇌가 왜 완벽하지 않은 '임시방편(클루지)'을 만들어내는지 설명. 판단 오류의 근본 원인을 뇌과학으로 파고들어 더 나은 의사결정의 전제를 제시한다.,더 나은 의사결정을 원한다면 반드시 읽어라,
판단력·의사결정,5,결정의 기술,필립 마이스너,청림출판,16000,자꾸 잘못된 선택을 하는 사람을 위한 체계적 의사결정 방법론. 정보 과잉 속에서 핵심만 골라내는 실용적 프레임워크를 제시한다.,선택 장애는 기술 부족이지 성격 탓이 아니다,
판단력·의사결정,6,와이저,캐스 선스타인 · 리드 헤이스티,위즈덤하우스,16000,집단이 개인보다 현명한 판단을 내리는 조건과 집단 판단이 실패하는 함정을 분석. 팀 의사결정의 구조적 오류와 해결책을 다룬다.,회의실에서 최악의 결정이 만장일치로 통과되는 이유,
판단력·의사결정,7,결정력 수업,캐스 선스타인,현대지성,17000,"넛지의 저자가 후회 없는 선택을 위한 비용-편익 분석 프레임워크를 제시. 감정과 직관에 휘둘리지 않고 합리적으로 결정하는 실전 기술을 담았다.",후회 없는 결정은 감이 아니라 프레임이 만든다,
판단력·의사결정,8,초예측,필립 테틀록 · 댄 가드너,알키,18000,미래 예측의 정확도를 높이는 사람들의 사고 습관 분석. 전문가보다 나은 판단을 내리는 '슈퍼 예측가'의 비밀을 데이터로 증명한다.,전문가 100명보다 아마추어 1명이 정확한 이유,
판단력·의사결정,9,싱킹 101,안우경,알에이치코리아,18000,예일대 심리학 교수가 정리한 사고의 오류 8가지와 교정법. 확증편향부터 프레이밍 효과까지 일상에서 반복되는 판단 오류를 실험으로 보여준다.,당신의 뇌는 지금도 당신을 속이고 있다,
판단력·의사결정,10,판단력,워렌 베니스 · 노엘 티키,세종서적,16000,리더의 핵심 역량은 판단력이라는 명제 아래 인재·전략·위기 상황에서 올바른 판단을 내리는 프로세스를 사례 중심으로 정리한다.,리더십의 본질은 결국 판단이다,
판단력·의사결정,11,명료함 ★REF,오탁민(Taky),바로펀딩/교보문고,18000,프로덕트 매니저이자 경영컨설턴트인 저자가 리더에게 가장 필요한 역량으로 '명료함'을 제시. 복잡한 상황에서 방향을 선명하게 잡는 것이 훌륭한 리더십의 밑그림이라는 통찰을 담았다.,리더의 진짜 역량은 명료하게 말하고 명료하게 결정하는 것,
리더십·팀장론,1,팀장의 탄생,줄리 주오,어크로스,17000,페이스북 VP가 25세에 팀장이 되어 겪은 실전 경험기. 사수로서 팀원을 키우고 방향을 잡는 것이 관리자의 본질임을 보여준다.,관리자가 된다는 건 일을 잘하는 게 아니라 일을 잘 시키는 것,
