카테고리,순위,제목,저자,출판사,가격,써머리,2030 추천사,이 책을 좋아해야 할 이유
2030_소설,1,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 아쿠타가와상 수상. 7주 연속 1위. 평점 8.0","23살 작가가 쓴 이 소설은 우리가 잊고 살았던 언어의 힘을 일깨운다. 7주 연속 1위는 괜히 된 게 아니다.","이 소설이 특별한 건 작가의 나이 때문만이 아니다. 23세 대학원생 스즈키 유이가 아쿠타가와상을 받으며 등장했을 때, 일본 문단은 에코와 보르헤스에 비견했다. 대단한 수식어지만, 읽어보면 과장이 아니라는 걸 알게 된다. 이 소설의 매력은 문장에 있다. 한 문장을 읽고 멈추게 되는 경험. SNS의 짧은 글에 익숙해진 우리에게, 문장 하나가 마음을 흔드는 경험은 낯설지만 강렬하다. 사랑의 본질을 탐구하면서도 무겁지 않고, 언어와 문학의 힘을 다루면서도 현학적이지 않다. 2030 독자가 이 책에 열광하는 이유는 간단하다. 우리 세대가 잃어버린 깊이를 이 짧은 소설 안에서 되찾을 수 있기 때문이다. 7주 연속 1위라는 기록은, 같은 경험을 한 사람이 그만큼 많다는 증거다. 읽고 나면 괴테를 찾게 되고, 서점에서 문학 코너에 머무는 시간이 길어진다. 올해 단 한 권만 읽겠다면, 이 책이 그 한 권이 되어야 한다."
2030_소설,2,자몽살구클럽,한로로,어센틱,10800,"네 여중생의 20일 유예 프로젝트. 1시간 완독.","1시간이면 다 읽지만 덮고 나면 한참 멍하게 앉아 있게 된다.","싱어송라이터 한로로가 음악이 아닌 소설로 찾아왔다. 자살을 생각하는 네 명의 여중생이 자몽살구클럽이라는 모임을 만들고, 서로에게 20일의 유예를 준다. 그 안에 살아갈 이유를 찾자고. 이 책은 얇다. 1시간이면 끝난다. 그런데 마지막 페이지를 넘기는 순간, 시간이 멈춘다. 가장 빛나야 할 시절의 아이들이 겪는 슬픔이 너무 현실적이라서. 제목의 자몽과 살구는 신맛과 달콤함, 죽음 충동과 생의 의지를 동시에 품은 언어적 장치다. 한로로의 동명 EP 앨범과 함께 들으면 세계관이 확장되는 경험도 할 수 있다. 이 책이 2030에게 필요한 이유는, 우리 주변에도 조용히 힘들어하는 사람이 있기 때문이다. 이 소설은 거창한 해결책을 제시하지 않는다. 다만, 20일이라는 시간이 삶과 죽음 사이에서 얼마나 큰 차이를 만들 수 있는지를 보여준다. 손을 꽉 쥐게 되는 애잔함과 먹먹함. 그것이 이 책의 전부이자 전부인 매력이다."
2030_소설,3,프로젝트 헤일메리,앤디 위어,RHK,19800,"외계 생명체 록키와의 우정. 30개국 1위. 평점 9.4","SF를 안 좋아해도 상관없다. 이건 우정 이야기다. 영화 나오기 전에 꼭 읽어라.","이 책을 SF라고만 분류하면 손해다. 기억을 잃은 채 우주선에서 깨어난 평범한 과학교사가, 11.9광년 떨어진 곳에서 지구를 구해야 한다는 설정은 SF지만, 이 소설의 진짜 힘은 록키라는 외계 생명체와의 우정에 있다. 언어도 다르고, 생김새도 다르고, 호흡하는 방식조차 다른 존재와 어떻게 소통하고 신뢰를 쌓는지를 보여주는 과정이 감동적이다. 앤디 위어 특유의 유쾌한 문체도 빼놓을 수 없다. 과학적 문제를 풀어나가는 과정이 퀴즈쇼처럼 재미있고, 위기를 유머로 돌파하는 주인공에게서 힘을 얻게 된다. 빌 게이츠와 오바마가 추천했고, 30개국에서 1위를 했으며, 평점 9.4는 알라딘 역대급이다. 2030이 읽어야 하는 이유? 다름을 넘어선 연대가 무엇인지, 과학이 왜 아름다운지, 유머가 어떻게 절망을 이기는지를 한 권으로 경험할 수 있기 때문이다. 영화가 나오기 전에 반드시 원작을 먼저 읽어라. 록키를 잊을 수 없게 될 것이다."
2030_소설,4,나의 완벽한 장례식,조현선,북로망스,17100,"병원 매점에 찾아오는 죽은 영혼들의 부탁.","죽음을 다루면서도 슬프지 않고 오히려 따뜻한 판타지.","새벽 병원 매점. 인적이 드문 시간, 그림자가 없는 손님들이 하나둘 찾아온다. 스무 살 나희는 대학 등록금을 벌기 위해 야간 알바를 시작했을 뿐인데, 이미 죽었지만 떠나지 못한 영혼들의 마지막 부탁을 들어주게 된다. 이 소설의 매력은 죽음을 다루면서도 슬프지 않다는 것이다. 오히려 따뜻하다. 영혼들이 남기고 간 미완의 이야기는, 살아있는 우리가 지금 해야 할 것들을 떠올리게 만든다. 미스터리한 분위기 속에서도 인간적인 온기를 잃지 않는 문장은 독자를 자연스럽게 서사 안으로 끌어들인다. 2030이 이 책에 빠지는 이유는, 20대의 불안정한 삶과 죽음이라는 거대한 주제가 맞닿는 지점에서 위로를 발견하기 때문이다. 마지막 장을 덮은 뒤에도 오래도록 온기가 남는 소설. 안 읽은 사람은 당장 사라는 독자 후기에 공감하게 될 것이다."
2030_소설,5,혼모노,성해나,창비,16200,"진짜란 무엇인가. 젊은작가상+이효석문학상.","가짜가 넘쳐나는 시대에 진짜를 묻는 단편집.","가성비, 효율, 편의. 우리 시대가 추구하는 가치다. 그 과정에서 진짜는 얼마나 남았을까? 성해나의 단편집 혼모노는 바로 그 질문을 던진다. 표제작에서 삼십 년간 무당이었던 문수에게 신이 떠난다. 신이 떠난 무당은 가짜일까? 진짜였던 시간은 사라지는 걸까? 각 단편마다 대비되는 인물들이 링 위에 올라 충돌한다. 진짜 무당과 가짜 무당, 자기중심적 시아버지와 타이거 마더인 며느리. 그 충돌의 순간에 작가의 신명이 터진다. 젊은작가상과 이효석문학상을 동시에 받은 건 이런 에너지 때문이다. 이 책이 2030에게 매력적인 이유는, 가짜를 추구해온 우리의 일상을 사정없이 꼬집으면서도, 날카로움 속에 유머가 있기 때문이다. 한국 문학의 새로운 목소리를 경험하고 싶다면 이 단편집부터 시작하라."
2030_소설,6,안녕이라 그랬어,김애란,문학동네,15120,"이별과 상실. 한국 문학 대표 감성.","김애란의 문장은 위로 그 자체. 이해받았다는 느낌.","김애란은 한국어로 슬픔을 가장 아름답게 쓰는 작가다. 이 장편소설에는 거창한 사건이 없다. 이별하고, 상실하고, 그래도 내일 출근하는 사람들의 이야기. 그런데 왜 읽다가 울컥할까. 김애란의 문장은 일상의 작은 균열을 통해 마음을 건드리는 힘이 있다. 안녕이라는 인사가 만남에도 이별에도 쓰인다는 것. 그 이중성이 이 소설의 핵심이다. 2030이 이 책을 읽어야 하는 이유는, 우리 세대의 상실이 거대한 비극이 아니라 일상의 작은 틈새에서 찾아오기 때문이다. 그 틈새를 김애란만큼 정확하게 포착하는 작가는 드물다. 읽고 나면 위로받았다는 느낌보다, 이해받았다는 느낌이 든다. 그것이 김애란 문학의 핵심이고, 이 소설이 오래 사랑받는 이유다."
2030_소설,7,죽은 왕녀를 위한 파반느,박민규,위즈덤하우스,18000,"한국 소설 문체의 기념비. 양장 특별판.","한국어가 이렇게 아름다울 수 있다는 걸 보여주는 소설.","박민규의 문장을 처음 만나면 당황할 수 있다. 이런 문체는 처음이니까. 길고, 독특하고, 리듬이 있다. 그런데 한 편을 다 읽으면 중독된다. 거대한 슬픔을 이렇게 아름답게 표현할 수 있다니. 이 연작소설집은 한국 소설의 문체적 가능성을 한 단계 올렸다는 평가를 받는다. 양장 특별판으로 재출간되면서 새 독자들이 유입되고 있는 건, 이 작품이 시간이 지나도 힘을 잃지 않는다는 증거다. 2030에게 추천하는 이유는, 우리가 한국어의 아름다움을 일상에서 잊고 살기 때문이다. 카톡과 슬랙의 짧은 메시지에 익숙해진 눈에, 박민규의 문장은 한국어가 가진 원래의 힘을 보여준다. 소장 가치까지 높은 양장본으로, 책장에 꽂아두고 가끔 꺼내 읽으면 좋다."
2030_소설,8,시간관리국,캘리앤 브래들리,비채,17820,"시간 관리 비밀 기관. 로맨스 판타지.","시간+사랑의 매력적 조합. 바쁜 일상의 달콤한 탈출구.","시간을 관리하는 비밀 기관이 있다면? 시간관리국이라는 매력적인 설정 위에 펼쳐지는 로맨스 판타지. 가볍게 읽기 좋으면서도 시간의 의미를 생각하게 만드는 이중적 매력이 있다. 바쁘게만 돌아가는 일상에서, 잠깐 멈춰서 시간이란 뭘까 생각해본 적 있는가. 되돌리고 싶은 순간, 멈추고 싶은 순간, 빨리 보내고 싶은 순간. 이 소설은 그런 보편적 욕망을 판타지로 풀어낸다. 2030에게 이 책은 달콤한 탈출구다. 무거운 소설에 지쳤을 때, 일상이 반복처럼 느껴질 때, 가볍지만 여운 있는 이야기가 필요할 때."
2030_소설,9,약속의 세대,백온유,문학동네,16200,"세대 간 약속과 연대. 문학동네 신예.","우리가 바로 그 약속의 세대이기 때문에 지금 읽어야 한다.","문학동네가 주목하는 신예 백온유의 소설은 세대 간 약속이라는 주제를 정면으로 다룬다. 부모 세대가 우리에게 남긴 약속, 우리가 다음 세대에게 물려줄 약속. 그 약속은 지켜지고 있는가, 아니면 이미 깨졌는가. 2030이 이 책에 공감하는 이유는, 우리가 바로 그 약속의 당사자이기 때문이다. 부모 세대의 희생과 기대 사이에서, 자기 삶의 방향을 찾아가는 인물들의 이야기가 우리의 현실과 겹친다. 신예 작가 특유의 날것 같은 에너지가 이 소설을 더욱 생생하게 만든다."
2030_소설,10,모순,양귀자,쓰다,11700,"1998년작 26년째 역주행. 25세 여성의 삶.","역주행에는 이유가 있다. 모순투성이 삶에 공감한다면.","1998년에 출간된 소설이 왜 2026년에도 팔릴까? 답은 간단하다. 25살 여성의 연애와 결혼 고민이 26년이 지나도 똑같기 때문이다. 시장에서 내복을 파는 억척 어머니, 행방불명인 아버지, 조폭이 꿈인 동생. 이 가족 배경 위에서 안진진은 두 남자 사이에서 저울질한다. 양귀자의 문체는 세련되고 빠르다. 하루만에 완독하는 사람이 속출하는 이유다. 그런데 빠르게 읽히면서도 마음에 남는 게 있다. 삶은 모순투성이고, 그 모순을 이해하는 데는 시간이 걸린다는 것. 한국문학계 최고의 역주행작이라는 타이틀은 그냥 붙은 게 아니다. 2030에게 이 책이 매력적인 이유는, 결론이 깔끔하지 않은 삶을 있는 그대로 보여주기 때문이다. 도무지 이해가 안 되는 인생 앞에서 위로를 얻고 싶다면, 이 11700원짜리 얇은 소설을 펼쳐보라."
