카테고리,순위,제목,저자,출판사,가격,써머리
종합,1,프로젝트 헤일메리 (영화 특별판),앤디 위어,RHK,19800,"태양 에너지를 먹는 외계 미생물로 멸망 위기에 처한 인류. 기억을 잃은 채 우주선에서 깨어난 과학교사가 외계 생명체와 우정을 쌓으며 지구를 구한다. 빌 게이츠/오바마 추천. 평점 9.4"
종합,2,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 일본 작가의 아쿠타가와상 수상작. 언어와 문학의 힘, 사랑의 본질을 탐구하는 소설. 7주 연속 1위. 평점 8.0"
종합,3,인생을 위한 최소한의 생각,"신영준, 고영성",상상스퀘어,17820,"깊은 사유가 사라진 시대, 거인들의 통찰을 빌려 삶의 중심을 세우는 최소한의 생각법. 풍요는 삶을 편하게 하지만 의미를 주진 못한다"
종합,4,엄마와 딸들의 미친년의 역사,이랑,이야기장수,16020,"싱어송라이터 이랑이 언니의 죽음을 기점으로 써내려간 가족사. 가난/폭력/남아선호 속 한국 여성의 집단적 기억. 일본/대만 역수입 화제작"
종합,5,완벽한 원시인,자청,필로틱,19800,"역행자 자청의 4년만의 신작. 수렵채집 시대 DNA에 맞춘 뇌 리셋법. 수면/호흡/걷기/영양 등 15개 버튼으로 현대인의 뇌를 정상 작동시키는 설계도. 출간 즉시 1위"
종합,6,부처님 말씀대로 살아보니,토니 페르난도,윌마,17010,"정신과 의사가 부처님 가르침을 실제 삶에 적용한 체험기. 마음챙김과 명상을 현대 심리학과 접목한 실용적 불교 입문서"
종합,7,무례한 세상에서 나를 지키는 법,발타사르 그라시안,논픽션,17820,"쇼펜하우어와 니체가 스승으로 삼았던 17세기 스페인 철학자의 처세술. 인간관계에서 자신을 지키는 날카로운 통찰"
종합,8,죽은 왕녀를 위한 파반느 (양장 특별판),박민규,위즈덤하우스,18000,"한국 소설의 새로운 문체를 열었다는 평가. 거대한 슬픔과 아름다움을 독특한 문장으로 직조한 연작소설집. 양장 특별판 재출간"
종합,9,마션 (스페셜 에디션),앤디 위어,RHK,17820,"화성에 홀로 남겨진 우주비행사의 생존기. 감자 재배부터 로켓 과학까지 유머로 무장한 1인 서바이벌. 영화화 대성공"
종합,10,모순 (개정판),양귀자,쓰다,11700,"1998년작인데 26년째 역주행. 25세 안진진이 두 남자 사이에서 선택하며 모순투성이 삶을 이해해가는 이야기. 하루만에 완독 속출"
종합,11,아르테미스 (스페셜 에디션),앤디 위어,RHK,17820,"달 식민지에서 벌어지는 범죄 스릴러. 밀수업자 재즈가 거대한 음모에 휘말리는 SF 모험"
종합,12,사랑이 있으니 살아집디다,"유시민, 김세라",은빛,16200,"유시민과 딸의 세대를 넘는 대화. 삶/사랑/죽음에 대한 부녀의 솔직한 에세이"
종합,13,3월의 벽력 1,이케 준코,대원씨아이,5400,"일본 인기 만화. 배구를 소재로 한 청춘 스포츠물"
종합,14,내 가게에 부모님을 고용했습니다,최윤선,파이퍼프레스,17100,"부모님을 직원으로 고용하며 벌어지는 가족 경영 에세이. 세대 간 갈등과 화해를 유머러스하게 풀어낸 실화"
종합,15,싯다르타,헤르만 헤세,민음사,7200,"깨달음을 찾는 싯다르타의 영적 여정. 쾌락/사업/사랑을 거쳐 강가에서 진정한 깨달음에 도달. 100년 넘게 읽히는 인생 고전"
종합,16,안녕이라 그랬어,김애란,문학동네,15120,"한국 문학 대표 감성 작가 김애란의 장편. 이별과 상실을 겪은 인물들의 이야기. 섬세한 문장으로 일상의 슬픔을 위로"
종합,17,박곰희 연금 부자 수업,박곰희,인플루엔셜,18900,"95만 유튜버의 연금 실전 가이드. 4개 절세 통장으로 월 300만원 만드는 로드맵. 4% 룰로 평생 현금흐름. 투자 초보 OK"
종합,18,스파이 패밀리 16,엔도 타츠야,학산문화사,5400,"일본 인기 만화. 스파이x살인마x초능력자 가족 코미디"
종합,19,혼모노,성해나,창비,16200,"진짜란 무엇인가를 묻는 단편집. 젊은작가상+이효석문학상 수상. 가짜를 추구해온 일상을 사정없이 꼬집는다"
종합,20,자몽살구클럽,한로로,어센틱,10800,"싱어송라이터 한로로의 첫 소설. 자살을 생각하는 네 여중생의 20일 유예 프로젝트. 1시간 완독. 애잔하고 먹먹한 청춘 서사"
종합,21,마법천자문 70,알에스미디어,아울북,14310,"어린이 학습만화 시리즈"
종합,22,카구라바치 9,호카조노 타케루,대원씨아이,5850,"일본 인기 소년만화"
종합,23,ETS 토익 정기시험 기출문제집 1000 Vol.5,ETS,YBM,19800,"토익 수험서. 실제 기출문제 10세트 수록"
