,카테고리,순위,제목,저자,출판사,가격,200자 요약,한줄 훅,선정(★),비고
,판단력·의사결정,1,판단력 수업 ★REF,이석연,한국표준협회미디어,18000,전 법제처장이 40가지 통찰로 정리한 판단력의 원리. 불확실한 상황에서 옳고 그름을 가려내는 기준과 사고 프레임워크를 제시한다.,당신의 판단은 논리인가 습관인가,★,
,판단력·의사결정,2,생각에 관한 생각,대니얼 카너먼,김영사,22000,노벨 경제학상 수상자가 밝힌 인간 의사결정의 두 시스템(빠른 직관 vs 느린 분석). 왜 우리가 체계적으로 잘못된 판단을 내리는지 과학적으로 해부한다.,당신이 합리적이라 믿는 순간이 가장 위험하다,★,
,판단력·의사결정,3,넛지,리처드 탈러 · 카스 선스타인,리더스북,17000,행동경제학의 핵심 — 선택 설계가 판단을 바꾼다. 작은 구조 변화가 의사결정의 방향을 결정하는 메커니즘을 다룬다. AI 초안의 선택지 설계를 이해하는 데 필수.,똑똑한 선택은 의지가 아니라 환경이 만든다,★,
,판단력·의사결정,4,초예측,필립 테틀록 · 댄 가드너,알키,18000,미래 예측의 정확도를 높이는 사람들의 사고 습관 분석. 전문가보다 나은 판단을 내리는 '슈퍼 예측가'의 비밀을 데이터로 증명한다.,전문가 100명보다 아마추어 1명이 정확한 이유,★,
,판단력·의사결정,5,명료함 ★REF,오탁민(Taky),바로펀딩/교보문고,18000,프로덕트 매니저이자 경영컨설턴트인 저자가 리더에게 가장 필요한 역량으로 '명료함'을 제시. 복잡한 상황에서 방향을 선명하게 잡는 것이 훌륭한 리더십의 밑그림이라는 통찰을 담았다.,리더의 진짜 역량은 명료하게 말하고 명료하게 결정하는 것,★,
,리더십·팀장론,6,팀장 리더십 수업,김정현,천그루숲,16800,혼자만 일 잘하는 팀장이 가장 쓸모없다. 성과를 내는 팀장의 코칭·피드백·위임 기술을 국내 실무 사례로 풀어낸다.,플레이어에서 코치로의 전환이 팀장의 첫 번째 과제,★,
,리더십·팀장론,7,거인의 리더십,신수정,앳워크,17000,일의 격 저자가 제시하는 리더의 성장법. 시니어가 되어갈수록 실무가 아닌 방향 설정과 영향력이 핵심 역량이 되는 과정을 그린다.,실력에서 영향력으로 무게중심이 옮겨가는 순간,★,
,리더십·팀장론,8,일의 격,신수정,앳워크,16000,프로페셔널의 일하는 방식과 태도. 시니어로 성장하는 과정에서 실무 능력 너머 필요한 일의 품격과 원칙을 정리한다.,일을 잘하는 것과 일을 잘하는 사람은 다르다,★,
,리더십·팀장론,9,AI 시대의 팀장은 다르게 일합니다 ★REF,김현,중앙북스,17000,AI가 보고서·데이터 분석·코드 생성까지 해내는 시대에 팀장의 역할은 어떻게 달라져야 하는가. AI를 조용한 팀원으로 받아들이고 리더십의 기준을 재정의하며 현장에서 바로 쓸 수 있는 프롬프트까지 제공한다.,AI 부사수를 맞이한 팀장의 생존 매뉴얼,★,
,AI 시대 일하는 법,10,AI가 나보다 일을 잘할 때,김대식,동아시아,18000,AI 시대 인간만의 고유 가치는 무엇인가. 카이스트 교수가 AI가 대체할 수 없는 인간의 판단력·맥락·윤리를 짚고 생존 전략을 제시한다.,AI가 모든 걸 할 수 있을 때 당신은 무엇을 할 것인가,★,
,AI 시대 일하는 법,11,AI 2026 트렌드&활용백과,김덕진,스마트북스,19800,정보를 아는 것이 아니라 전략으로 전환하는 능력이 핵심이라는 관점. AI 트렌드를 비즈니스 의사결정에 연결하는 실무 가이드.,AI 트렌드를 읽는 사람 vs 판단에 쓰는 사람,★,
