장르,순위,제목,저자,출판사,가격,써머리,추천사,이 책을 좋아해야 할 이유
소설,1,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 아쿠타가와상 수상. 언어와 사랑의 본질. 7주 연속 1위.","문장의 힘을 믿는 모든 독자에게.","23세 대학원생 스즈키 유이가 아쿠타가와상을 받으며 등장했을 때 일본 문단은 에코와 보르헤스에 비견했다. 이 소설의 매력은 문장에 있다. 한 문장을 읽고 멈추게 되는 경험. 사랑의 본질을 탐구하면서도 무겁지 않고, 언어와 문학의 힘을 다루면서도 현학적이지 않다. 7주 연속 1위라는 기록은 같은 경험을 한 독자가 그만큼 많다는 증거다. 읽고 나면 괴테를 찾게 되고, 서점에서 문학 코너에 머무는 시간이 길어진다. 짧은 메시지에 익숙해진 시대에, 문장 하나가 마음을 흔드는 경험은 낯설지만 강렬하다. 올해 단 한 권만 읽겠다면 이 책이 그 한 권이 되어야 한다. 평점 8.0."
소설,2,프로젝트 헤일메리 (영화 특별판),앤디 위어,RHK,19800,"기억 잃고 우주에서 깨어난 과학교사의 지구 구하기. 평점 9.4.","SF를 안 좋아해도 읽어야 하는 소설.","이 책을 SF라고만 분류하면 손해다. 기억을 잃은 채 우주선에서 깨어난 평범한 과학교사가 외계인 록키와 우정을 쌓으며 지구를 구한다. 언어도 다르고 생김새도 다르고 호흡 방식마저 다른 존재와 소통하고 신뢰를 쌓는 과정이 감동적이다. 앤디 위어 특유의 유쾌한 문체도 빼놓을 수 없다. 과학적 문제를 풀어나가는 과정이 퀴즈쇼처럼 재미있고, 위기를 유머로 돌파하는 주인공에게서 힘을 얻게 된다. 빌 게이츠와 오바마가 추천했고 30개국 1위, 알라딘 평점 9.4는 역대급이다. 다름을 넘어선 연대가 무엇인지, 과학이 왜 아름다운지를 한 권으로 경험할 수 있다. 영화 개봉 전에 반드시 원작을 먼저 읽어라."
소설,3,죽은 왕녀를 위한 파반느 (양장 특별판),박민규,위즈덤하우스,18000,"한국 소설 문체의 기념비적 연작소설집.","한국어가 이렇게 아름다울 수 있다는 걸 보여주는 소설.","박민규의 문장을 처음 만나면 당황할 수 있다. 이런 문체는 처음이니까. 길고 독특하고 리듬이 있다. 그런데 한 편을 다 읽으면 중독된다. 거대한 슬픔을 이렇게 아름답게 표현할 수 있다니. 이 연작소설집은 한국 소설의 문체적 가능성을 한 단계 올렸다는 평가를 받는다. 양장 특별판으로 재출간되면서 새 독자들이 유입되고 있는 건 시간이 지나도 힘을 잃지 않는다는 증거다. 카톡과 슬랙의 짧은 메시지에 익숙해진 눈에 박민규의 문장은 한국어가 가진 원래의 힘을 보여준다. 소장 가치 높은 양장본으로 책장에 꽂아두고 가끔 꺼내 읽기 좋다."
소설,4,싯다르타,헤르만 헤세,민음사,7200,"깨달음을 찾는 영적 여정. 100년 넘게 읽히는 고전.","인생의 전환점에서 만나야 할 책.","싯다르타는 깨달음을 찾아 떠난다. 스승을 만나고 쾌락에 빠지고 사업을 하고 사랑을 한다. 그 모든 경험을 거쳐 강가에 도달했을 때 비로소 진리를 만난다. 100년 넘게 읽히는 이유는 이 여정이 모든 인간의 이야기이기 때문이다. 20대에 읽으면 열정을, 30대에 읽으면 회의를, 40대에 읽으면 평온을 발견한다. 7200원이라는 가격은 이 깊이에 비하면 거의 공짜다. 인생의 전환점에서 읽으면 방향이 보이는 책. 모든 것은 돌아온다는 마지막 깨달음이 가슴에 새겨진다."
소설,5,안녕이라 그랬어,김애란,문학동네,15120,"이별과 상실. 한국 문학 대표 감성.","김애란의 문장은 위로 그 자체.","김애란은 한국어로 슬픔을 가장 아름답게 쓰는 작가다. 이 장편소설에는 거창한 사건이 없다. 이별하고 상실하고 그래도 내일 출근하는 사람들의 이야기. 그런데 왜 읽다가 울컥할까. 김애란의 문장은 일상의 작은 균열을 통해 마음을 건드리는 힘이 있다. 안녕이라는 인사가 만남에도 이별에도 쓰인다는 이중성이 이 소설의 핵심이다. 우리의 상실은 거대한 비극이 아니라 일상의 작은 틈새에서 찾아온다. 그 틈새를 김애란만큼 정확하게 포착하는 작가는 드물다. 읽고 나면 위로받았다는 느낌보다 이해받았다는 느낌이 든다."
소설,6,자몽살구클럽,한로로,어센틱,10800,"네 여중생의 20일 유예 프로젝트. 1시간 완독.","얇지만 오래 남는 소설.","자살을 생각하는 네 명의 여중생이 자몽살구클럽을 만들고 서로에게 20일의 유예를 준다. 그 안에 살아갈 이유를 찾자고. 1시간이면 끝나지만 마지막 페이지를 넘기는 순간 시간이 멈춘다. 가장 빛나야 할 시절의 아이들이 겪는 슬픔이 너무 현실적이라서. 제목의 자몽과 살구는 신맛과 달콤함, 죽음 충동과 생의 의지를 동시에 품은 언어적 장치다. 싱어송라이터 한로로의 동명 EP와 함께 들으면 세계관이 확장된다. 주변에 조용히 힘들어하는 사람이 있다면 이 책을 건네보라. 거창한 해결책 대신 20일이라는 시간이 만드는 차이를 보여준다."
소설,7,모순,양귀자,쓰다,11700,"1998년작 26년째 역주행. 세련된 문체.","역주행에는 이유가 있다.","1998년 소설이 왜 2026년에도 팔릴까? 25살 여성의 연애와 결혼 고민이 26년이 지나도 똑같기 때문이다. 시장에서 내복 파는 억척 어머니, 행방불명인 아버지, 조폭이 꿈인 동생. 이 가족 배경 위에서 안진진은 두 남자 사이에서 저울질한다. 양귀자의 문체는 세련되고 빠르다. 하루만에 완독하는 사람이 속출하는 이유다. 빠르게 읽히면서도 마음에 남는 게 있다. 삶은 모순투성이고 그 모순을 이해하는 데는 시간이 걸린다는 것. 한국문학계 최고의 역주행작이라는 타이틀은 그냥 붙은 게 아니다."
소설,8,마션 (스페셜 에디션),앤디 위어,RHK,17820,"화성에 홀로 남겨진 우주비행사의 생존기.","과학 지식+유머의 완벽한 조합.","화성에 홀로 남겨진 우주비행사 마크 와트니. 감자를 재배하고 물을 만들고 화성 탐사 로버를 해킹해서 지구와 통신한다. 극한 상황을 과학으로 돌파하는 과정이 짜릿하고, 와트니의 유머가 절망을 견디게 해준다. 영화로 먼저 봤더라도 원작을 읽어야 하는 이유는 과학적 디테일의 쾌감 때문이다. 문제를 분석하고 해결책을 찾고 실행하는 사고 과정 자체가 엔터테인먼트다. 프로젝트 헤일메리의 전작으로 앤디 위어의 세계에 입문하기에 최적."
소설,9,아르테미스 (스페셜 에디션),앤디 위어,RHK,17820,"달 식민지 밀수업자의 범죄 스릴러.","달에서 펼쳐지는 하드보일드 SF.","달 식민지 아르테미스에서 밀수업으로 생계를 꾸리는 재즈. 한탕 크게 벌려다 거대한 음모에 휘말린다. 앤디 위어의 장기인 과학적 디테일이 달 생활을 생생하게 그려내고, 재즈라는 캐릭터의 매력이 이야기를 끌고 간다. 마션/프로젝트 헤일메리와 함께 앤디 위어 우주 3부작을 완성하는 작품. 스페셜 에디션으로 소장 가치까지."
소설,10,소설 보다: 봄 2026,김채원 외,문학과지성사,4950,"문학과지성사의 계간 소설 앤솔러지.","한국 문학의 최전선을 4950원에.","문학과지성사가 매 계절 선보이는 소설 앤솔러지. 한국 문학의 최전선에서 활동하는 작가들의 신작 단편을 한 권에 모았다. 4950원이라는 파격적 가격으로 여러 작가의 문체를 맛볼 수 있어 새로운 작가를 발견하기에 최적이다. 어떤 소설을 읽어야 할지 모르겠을 때 이 앤솔러지부터 시작하면 취향에 맞는 작가를 찾을 수 있다."
소설,11,햄릿 (먼슬리 클래식),윌리엄 셰익스피어,문학동네,9900,"셰익스피어 4대 비극의 정점.","사느냐 죽느냐, 그것이 문제로다.","To be or not to be. 이 한 문장을 모르는 사람은 없다. 하지만 햄릿을 실제로 읽은 사람은 의외로 적다. 문학동네 먼슬리 클래식 시리즈로 출간된 이 판본은 현대적 번역으로 접근성이 높다. 복수와 광기와 권력의 이야기는 400년이 지나도 현재진행형이다. 고전을 읽어야 하는 이유를 이 한 권이 증명한다. 9900원으로 세계 문학사의 정점을 만날 수 있다."
소설,12,혼모노,성해나,창비,16200,"진짜란 무엇인가를 묻는 단편집.","날카롭지만 유머러스. 한국 문학의 새 목소리.","가성비와 효율의 시대에 진짜는 얼마나 남았을까? 성해나의 단편집은 바로 그 질문을 던진다. 신이 떠난 무당은 가짜일까? 진짜였던 시간은 사라지는 걸까? 젊은작가상과 이효석문학상을 동시에 받은 건 각 단편에서 터지는 에너지 때문이다. 대비되는 인물들이 충돌하는 순간 작가의 신명이 쏟아진다. 가짜를 추구해온 우리 일상을 꼬집으면서도 날카로움 속에 유머가 있다."
소설,13,세종의 나라 1 (양장),김진명,이타북스,19800,"세종대왕 시대를 배경으로 한 대하 역사소설.","한글 창제의 드라마를 소설로.","베스트셀러 작가 김진명이 세종대왕 시대를 소설로 재현했다. 한글 창제를 둘러싼 정치적 갈등, 집현전 학자들의 헌신, 세종의 리더십을 대하 서사로 풀어낸다. 역사를 좋아하는 독자에게는 흥미진진한 이야기로, 역사에 관심 없는 독자에게는 리더십과 혁신의 교훈으로 읽힌다. 양장본의 묵직한 질감이 역사의 무게를 더한다."
