line,line_name,unit,id,label,group,variant,rev,brand,diff,tier,sustain,scen,core,note
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0613,봉은사 상설 뮤지엄,G2 · 전시·뮤지엄,기본,L,H,M,Tier1,H,AC,A,
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0614,유료 기획전,G2 · 전시·뮤지엄,매스,M,H,H,Tier1,M,AC,A,
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0615,성보 특별전 유치,G2 · 전시·뮤지엄,기본,M,H,M,Tier1,M,AC,A,
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0616,디지털 아트 시즌 전시,G2 · 전시·뮤지엄,매스,H,H,H,Tier1,M,AC,C,
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0617,야간 라이트업·프로젝션,G2 · 전시·뮤지엄,매스,M,H,M,Tier1,H,A,C,
RL-01,전시 입장,티켓단가 × 관람객수 × 운영일,E-0621,봉은사 역사관·아카이브,G2 · 전시·뮤지엄,기본,L,H,L,Tier1,H,AC,B,
RL-02,F&B · 전통다원,객단가 × 좌석 × 회전 × 영업일,E-0600,전통다원 · 오픈형,G1 · 다원·다이닝(F&B),매스,M,M,L,Tier1,H,AB,A,차·한과 준비 수준의 조리도 문화집회시설 용도 제약(E-0041)에 걸린다 — 조리 없는 완제품 반입 설계 또는 용도 확인이 전제다.
RL-02,F&B · 전통다원,객단가 × 좌석 × 회전 × 영업일,E-0601,티 오마카세,G1 · 다원·다이닝(F&B),프리미엄,M,H,M,Tier1,M,BA,B,차·한과 준비 수준의 조리도 문화집회시설 용도 제약(E-0041)에 걸린다 — 조리 없는 완제품 반입 설계 또는 용도 확인이 전제다.
RL-02,F&B · 전통다원,객단가 × 좌석 × 회전 × 영업일,E-0607,교리 기반 시그니처 조식,G1 · 다원·다이닝(F&B),기본,M,H,M,Tier1,M,AB,C,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-02,F&B · 전통다원,객단가 × 좌석 × 회전 × 영업일,E-0610,주 3일 한정 다원,G1 · 다원·다이닝(F&B),매스,L,M,L,Tier1,H,AB,C,차·한과 준비 수준의 조리도 문화집회시설 용도 제약(E-0041)에 걸린다 — 조리 없는 완제품 반입 설계 또는 용도 확인이 전제다.
RL-03,F&B · 사찰음식 다이닝,코스단가 × 좌석 × 회전 × 영업일,E-0603,사찰음식 정식당,G1 · 다원·다이닝(F&B),매스,H,M,H,Tier1,M,A,A,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-03,F&B · 사찰음식 다이닝,코스단가 × 좌석 × 회전 × 영업일,E-0604,사찰음식 파인다이닝,G1 · 다원·다이닝(F&B),프리미엄,H,H,H,Tier1,M,BA,A,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-03,F&B · 사찰음식 다이닝,코스단가 × 좌석 × 회전 × 영업일,E-0605,셰프 승려 한정 다이닝,G1 · 다원·다이닝(F&B),프리미엄,M,H,H,Tier1,L,B,B,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-03,F&B · 사찰음식 다이닝,코스단가 × 좌석 × 회전 × 영업일,E-0608,비영리 공양식당,G1 · 다원·다이닝(F&B),공익,L,H,M,Tier1,M,A,A,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0622,뮤지엄숍,G3 · 리테일·상품,기본,M,M,L,Tier1,H,AC,A,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0623,오리지널 식품 브랜드,G3 · 리테일·상품,기본,M,H,M,Tier1,H,CA,A,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0624,리미티드 공예 에디션,G3 · 리테일·상품,프리미엄,M,H,M,Tier2,M,CB,B,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0625,전통문화 편집숍,G3 · 리테일·상품,매스,M,M,M,Tier2,M,AC,A,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0626,수집형 스탬프·부적,G3 · 리테일·상품,매스,L,M,L,Tier1,M,A,B,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0627,불교 서적·굿즈 서점,G3 · 리테일·상품,기본,L,M,L,Tier1,H,AC,B,
RL-04,리테일 · 상품판매,객단가 × 구매전환율 × 방문객,E-0628,웰니스 소비재 라인,G3 · 리테일·상품,프리미엄,M,M,M,Tier1,M,BC,B,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0641,원데이 사찰음식 클래스,G5 · 교육·아카데미,매스,M,M,M,Tier2,H,AB,B,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0642,사찰음식 전문가 과정,G5 · 교육·아카데미,프리미엄,M,H,H,Tier2,H,CB,B,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0643,불교 아카데미 정규강좌,G5 · 교육·아카데미,기본,M,H,M,Tier2,H,AB,A,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0644,지도자 양성 과정,G5 · 교육·아카데미,프리미엄,M,H,H,Tier2,H,CB,A,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0645,외국인 즉석 체험,G5 · 교육·아카데미,매스,M,H,M,Tier2,H,A,A,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0646,외국인 프라이빗 투어,G5 · 교육·아카데미,프리미엄,M,H,M,Tier2,M,BA,B,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0647,청소년·어린이 문화교실,G5 · 교육·아카데미,공익,L,H,M,Tier2,H,A,B,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0648,공방·메이커 클래스,G5 · 교육·아카데미,매스,M,M,M,Tier2,M,AC,B,
RL-05,교육 · 체험 클래스,회차단가 × 정원 × 가동률 × 연회차,E-0649,현대어 교리 해설,G5 · 교육·아카데미,기본,L,H,L,Tier1,H,AC,B,
RL-06,명상 프로그램 (B2C),드롭인/회차단가 × 인원 × 연회차,E-0631,드롭인 명상 클래스,G4 · 명상·웰니스,매스,L,M,L,Tier2,H,AB,A,
RL-06,명상 프로그램 (B2C),드롭인/회차단가 × 인원 × 연회차,E-0632,점심시간 30분 명상,G4 · 명상·웰니스,매스,L,M,L,Tier2,H,BA,B,
RL-06,명상 프로그램 (B2C),드롭인/회차단가 × 인원 × 연회차,E-0633,1일 선(禪) 리트리트,G4 · 명상·웰니스,기본,M,H,M,Tier2,H,BA,C,
RL-06,명상 프로그램 (B2C),드롭인/회차단가 × 인원 × 연회차,E-0639,스님과의 대화,G4 · 명상·웰니스,기본,L,H,M,Tier1,M,AB,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0635,기업 명상 워크숍 · 매스,G4 · 명상·웰니스,매스,M,M,M,Tier2,M,BA,A,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0636,임원 프라이빗 리트리트,G4 · 명상·웰니스,프리미엄,H,H,H,Tier2,M,B,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0637,기업 연간 웰니스 계약,G4 · 명상·웰니스,멤버십,H,M,H,Tier2,H,B,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0638,측정 기반 명상 DX,G4 · 명상·웰니스,프리미엄,M,M,H,Tier2,M,BC,C,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0658,기업 연수 · 매스형,G7 · 대관·B2B,매스,H,L,M,Tier2,M,AB,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0659,기업 연수 · 프리미엄형,G7 · 대관·B2B,프리미엄,H,H,H,Tier2,M,B,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0660,기업 연수 · 멤버십형,G7 · 대관·B2B,멤버십,H,M,H,Tier2,H,B,B,
RL-07,기업 B2B 프로그램,회당단가 × 연간 건수,E-0619,기업 협찬 전시,G2 · 전시·뮤지엄,B2B,H,M,M,Tier2,M,AC,B,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0661,문화행사·포럼 대관,G7 · 대관·B2B,B2B,H,M,M,Tier2,M,AB,A,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0662,브랜드 론칭·오프닝 대관,G7 · 대관·B2B,B2B,H,M,M,Tier2,L,A,B,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0663,공연장 대관,G7 · 대관·B2B,B2B,M,M,M,Tier2,M,A,B,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0664,촬영·미디어 로케이션,G7 · 대관·B2B,B2B,M,H,L,Tier2,M,A,B,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0665,종단 의전·법요 행사,G7 · 대관·B2B,기본,L,H,L,Tier1,H,AC,A,
RL-08,대관,㎡·일 단가 × 대관면적 × 가동일,E-0666,전통 혼례·가족 의례,G7 · 대관·B2B,프리미엄,M,M,M,Tier2,M,BA,C,
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0650,도심형 템플스테이,G6 · 체류·리트리트,매스,M,H,H,Tier1,H,AB,A,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
RL-09,숙박 · 체류,박단가 × 객실수 × 가동률 × 365,E-0651,프리미엄 명상 리트리트,G6 · 체류·리트리트,프리미엄,H,H,H,Tier1,M,B,A,조리 필요 — 건물 용도가 문화집회시설이라 음식 조리가 원천 불가(E-0041). 용도변경 또는 유권해석이 전제다.
