카테고리,순위,제목,저자,출판사,가격,써머리,2030 추천사
2030_소설,1,괴테는 모든 것을 말했다,스즈키 유이,리프,15300,"23세 아쿠타가와상 수상. 언어/문학/사랑의 본질 탐구. 7주 연속 1위. 평점 8.0","23살 작가가 쓴 이 소설은 우리가 잊고 살았던 언어의 힘을 일깨운다. SNS의 짧은 문장에 익숙해진 우리에게, 한 문장이 삶을 바꿀 수 있다는 걸 보여준다. 7주 연속 1위는 괜히 된 게 아니다. 읽고 나면 괴테를 찾게 되고, 문학이 왜 필요한지 체감하게 된다. 올해 딱 한 권만 읽는다면 이 책이다."
2030_소설,2,자몽살구클럽,한로로,어센틱,10800,"네 여중생이 20일간 살아갈 이유를 찾는 이야기. 1시간 완독. 동명 EP와 세계관 연결.","1시간이면 다 읽는다. 그런데 덮고 나면 한참을 멍하게 앉아 있게 된다. 살고 싶은 이유를 찾는 네 명의 이야기가 너무 현실적이라서. 싱어송라이터 한로로의 EP와 함께 들으면 세계관이 확장된다. 힘든 하루를 보낸 날, 이 작은 책이 당신의 20일을 바꿔줄지도 모른다."
2030_소설,3,프로젝트 헤일메리,앤디 위어,RHK,19800,"외계 생명체 록키와의 우정+과학적 문제 해결. 30개국 1위. 평점 9.4","SF를 안 좋아해도 상관없다. 이건 우정 이야기다. 기억을 잃은 채 우주에서 깨어난 평범한 과학교사가, 외계인 록키와 함께 지구를 구한다. 과학이 이렇게 재미있을 수 있다니. 읽는 내내 웃고, 마지막엔 운다. 빌 게이츠와 오바마가 추천한 이유를 알게 될 것이다. 영화 나오기 전에 꼭 읽어라."
2030_소설,4,나의 완벽한 장례식,조현선,북로망스,17100,"병원 매점에 찾아오는 죽은 영혼들의 부탁. 따뜻한 판타지.","새벽 병원 매점에서 시작되는 이 이야기는, 죽음을 다루면서도 슬프지 않다. 오히려 따뜻하다. 떠나지 못한 영혼들의 마지막 부탁을 들어주는 스무 살 나희를 보며, 지금 살아있는 우리의 관계를 돌아보게 된다. 마지막 페이지를 덮고도 한참 온기가 남는 소설."
2030_소설,5,혼모노,성해나,창비,16200,"진짜란 무엇인가를 묻는 단편집. 젊은작가상+이효석문학상.","가짜가 넘쳐나는 시대에, 진짜란 뭘까? 신이 떠난 무당은 가짜일까? 이 단편집은 우리가 당연하게 여겼던 진짜와 가짜의 경계를 뒤흔든다. 젊은작가상+이효석문학상을 동시에 받은 건 이유가 있다. 날카롭지만 유머러스하고, 짧지만 오래 남는다."
2030_소설,6,안녕이라 그랬어,김애란,문학동네,15120,"이별과 상실 속 삶을 이어가는 인물들. 섬세한 문장.","누군가에게 이별을 고한 적 있다면, 이 책은 당신을 위한 것이다. 김애란은 한국어로 슬픔을 가장 아름답게 쓰는 작가다. 거창한 사건 없이, 일상의 작은 균열을 통해 마음을 건드린다. 읽고 나면 위로받았다는 느낌보다, 이해받았다는 느낌이 든다."
2030_소설,7,죽은 왕녀를 위한 파반느,박민규,위즈덤하우스,18000,"한국 소설 문체의 기념비적 연작. 양장 특별판.","한국어가 이렇게 아름다울 수 있다는 걸 보여주는 소설. 박민규만의 독특한 문체는 중독성이 있다. 슬프고 아름답고 기묘한 이 연작을 읽으면, 왜 이 책이 수십 년간 사랑받는지 알게 된다. 양장 특별판으로 소장 가치까지 높다."
2030_소설,8,시간관리국,캘리앤 브래들리,비채,17820,"시간 관리 비밀 기관 배경 로맨스 판타지.","시간을 되돌릴 수 있다면? 시간관리국이라는 비밀 기관을 배경으로 펼쳐지는 로맨스 판타지. 가볍게 읽기 좋으면서도 시간의 의미를 생각하게 만든다. 바쁜 일상에 지친 2030에게 달콤한 탈출구."
2030_소설,9,약속의 세대,백온유,문학동네,16200,"세대 간 약속과 연대. 문학동네 신예.","세대 간 약속이라는 주제를 이렇게 풀어내다니. 문학동네가 주목하는 신예 백온유의 소설은, MZ세대가 부모 세대와 맺는 관계에 대해 새로운 질문을 던진다. 지금 읽어야 하는 이유? 우리가 바로 그 약속의 세대이기 때문이다."
2030_소설,10,모순,양귀자,쓰다,11700,"25세 여성의 모순투성이 삶. 1998년작 26년째 역주행.","1998년에 나온 소설이 왜 아직도 팔릴까? 25살 여성의 연애와 결혼 고민이 26년이 지나도 똑같기 때문이다. 모순투성이 삶을 이해하고 싶다면, 세련된 문체에 빠져들고 싶다면, 하루만에 완독하는 이 소설을 펼쳐라. 역주행에는 이유가 있다."
2030_경제,1,연금 부자 수업,박곰희,인플루엔셜,18900,"4개 절세 통장으로 월 300만원. 4% 룰. 투자 초보 OK.","20대에 연금? 이르다고? 아니, 빠를수록 유리하다. 95만 유튜버 박곰희가 4개 통장으로 월 300만원 만드는 로드맵을 구체적으로 알려준다. 월 50만원부터 시작 가능. 복잡한 금융 용어 없이, 진짜 따라할 수 있는 연금 가이드. 노후 불안을 해소하는 첫걸음."
2030_경제,2,코스피 1만 넥스트 레벨,박시동,지와인,19800,"코스피 1만 시대 투자 전략. 생활 언어 실전서.","코스피가 6000을 넘었다. 1만 시대가 온다면 어떻게 투자해야 할까? 설명 천재 박시동 소장이 어려운 투자 이론을 생활 언어로 풀어낸다. 종목 선택부터 포트폴리오 관리까지, 원칙 있는 투자를 시작하고 싶은 2030의 실전 교과서."
2030_경제,3,돈의 방정식,모건 하우절,서삼독,25200,"부=가진 것-원하는 것. 돈의 심리학 후속.","돈의 심리학을 읽었다면 이건 필수다. 안 읽었어도 괜찮다. 부=가진 것-원하는 것이라는 단순한 공식이 돈에 대한 생각을 완전히 바꿔준다. 더 많이 버는 것보다 현명하게 쓰는 법이 중요한 시대. 돈을 도구로 쓸 줄 아는 어른이 되고 싶다면."
2030_경제,4,환율의 대전환,오건영,,,"환율과 자산. 부의 대이동 후속. 30대 남성 1위.","달러 환율이 왜 중요한지 모르겠다면, 이 책을 읽어야 할 이유가 더 크다. 부의 대이동 50만 독자가 기다린 오건영의 신작. 환율 변동 하나가 내 월급의 실질 가치를 바꾼다. 30대 남성 독자 1위인 데는 이유가 있다. 거시경제 입문의 정석."
2030_경제,5,자본주의 시대 최소한의 경제 공부,백억남,하이스트,25200,"자본주의 구조와 돈의 흐름 입문.","경제 뉴스가 외국어처럼 들린다면 여기서 시작하자. 백억남이 자본주의의 작동 원리를 쉽게 풀어준다. 금리가 오르면 왜 집값이 변하는지, 내 월급은 왜 안 오르는지. 돈의 흐름을 읽는 눈이 생기면 세상이 다르게 보인다."
2030_경제,6,"1,000만원으로 월배당 300만원",인생업,경이로움,20700,"소액 월배당 포트폴리오 구축. 종목/비율 안내.","1000만원으로 월 300만원? 과장이 아니라 복리와 시간의 마법이다. 구체적 종목과 비율까지 알려주는 실전형. 월급 외 현금흐름을 만들고 싶은 2030이라면, 이 책의 포트폴리오를 따라해보는 것부터."
2030_경제,7,나의 첫 월배당 ETF,김정란,토네이도,19800,"ETF 입문~포트폴리오 구성.","주식은 무서운데 ETF는 뭔지 모르겠다? 이 책이 딱이다. 월배당 ETF 선택법부터 포트폴리오까지 초보자 눈높이에 맞춘 가이드. 적은 돈으로 시작해서 매달 배당금 받는 구조를 만드는 첫걸음."
2030_경제,8,박태웅의 AI 강의 2026,박태웅,한빛비즈,20700,"AI 시대 비즈니스 트렌드 해설.","AI가 내 일자리를 대체할까 걱정만 하고 있다면, 걱정 대신 이 책을 읽어라. 에이전틱 AI, 피지컬 AI 등 2026 최신 트렌드를 비즈니스 관점에서 해설한다. AI 시대에 살아남는 건 기술을 아는 사람이 아니라, 변화를 읽는 사람이다."
2030_경제,9,진보를 위한 주식투자,이광수,21세기북스,19800,"가치관과 투자의 양립.","투자하면서 양심의 가책을 느낀 적 있는가? 진보적 가치관과 투자는 양립할 수 있다. 사회적 책임 투자라는 새로운 관점으로, 돈을 벌면서도 세상을 바꾸는 방법을 알려준다. 가치와 수익의 공존을 고민하는 2030에게."
2030_경제,10,트렌드 코리아 2026,김난도 외,미래의창,,"2026 소비 키워드 10가지. 5주 연속 1위.","매년 연초에 이 책을 안 읽으면 1년이 불안하다는 마케터들이 있다. 서울대 소비트렌드 분석센터가 짚어내는 올해의 키워드 10가지. 취준생이든 현직자든, 소비 트렌드를 알면 기회가 보인다. 기획서에 인용하기에도 최적."
2030_자기계발,1,완벽한 원시인,자청,필로틱,19800,"15개 뇌 리셋 버튼 5단계. 역행자 후속. 출간 즉시 1위.","역행자 100만부의 자청이 4년 만에 돌아왔다. 이번엔 성공법이 아니라 작동법이다. 우리 뇌는 10만 년 전 설계인데 환경만 바뀌었다는 것. 수면/호흡/걷기 같은 기본부터 리셋하면 의지력 없이도 상태가 바뀐다. 번아웃된 2030에게 가장 필요한 처방전."
